(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00054618256>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0010274264>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0007145044>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00028452504>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.007905066>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0002940847>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0016063459>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=9.5927906e-05>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.000101811704>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.001742188>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=6.485138e-05>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=2.617704e-05>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0003270329>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=7.3725634e-05>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=1.287287e-05>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0005413651>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00022933591>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00031993823>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.004139715>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00012256837>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=5.124185e-05>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00048300246>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00014800699>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00019833934>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00016017338>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0038750484>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00012282227>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0005215539>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0005337743>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=1.72943e-05>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0012671365>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0011274363>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00045307947>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.085922934>)
