(1000, 997487.4)
(2000, 16424.215)
(3000, 3245.237)
(4000, 3270.597)
(5000, 1009.4667)
(6000, 468.1483)
(7000, 891.8356)
(8000, 53.35311)
(9000, 111.54324)
(10000, 8.958013)
(11000, 7.388857)
(12000, 22.460257)
(13000, -1.5304171)
(14000, -1.4649131)
(15000, -1.9341394)
(16000, -1.86642)
(17000, -1.9748611)
(18000, -1.9092635)
(19000, -2.3529396)
(20000, -2.514463)
(21000, -2.4400876)
(22000, -2.4234765)
(23000, -2.5540004)
(24000, -2.56279)
(25000, -2.6164591)
(26000, -2.5278687)
(27000, -2.625933)
(28000, -2.583535)
(29000, -2.5517533)
(30000, -2.5795372)
(31000, -2.5819037)
(32000, -2.6203284)
(33000, -2.6604962)
(34000, -2.6699514)
(35000, -2.6445036)
(36000, -2.7079644)
(37000, -2.7611299)
(38000, -2.871224)
(39000, -2.9698322)
(40000, -3.1356306)
(41000, -3.3037663)
(42000, -3.5133939)
(43000, -3.7114048)
(44000, -3.9773698)
(45000, -4.1942434)
(46000, -4.457155)
(47000, -4.730134)
(48000, -4.9446635)
(49000, -5.2484655)
(50000, -5.541397)
(51000, -5.833143)
(52000, -6.1259317)
(53000, -6.396277)
(54000, -6.715186)
(55000, -6.999447)
(56000, -7.3292336)
(57000, -7.6914525)
(58000, -7.9823136)
(59000, -8.27861)
(60000, -8.557103)
(61000, -8.836948)
(62000, -9.234843)
(63000, -9.547791)
(64000, -9.82869)
(65000, -10.175431)
(66000, -10.439838)
(67000, -10.814174)
(68000, -11.089079)
(69000, -11.494756)
(70000, -11.594545)
(71000, -11.82223)
(72000, -12.048339)
(73000, -12.406214)
(74000, -12.395023)
(75000, -12.7647085)
(76000, -13.121773)
(77000, -13.535953)
(78000, -13.646745)
(79000, -13.730446)
(80000, -13.553951)
(81000, -14.039525)
(82000, -14.00853)
(83000, -14.331003)
(84000, -14.887884)
(85000, -14.687469)
(86000, -15.1466675)
(87000, -14.9206295)
(88000, -15.322395)
(89000, -15.929916)
(90000, -15.03671)
(91000, -15.288291)
(92000, -15.762432)
(93000, -15.390416)
(94000, -15.7371025)
(95000, -15.447405)
(96000, -15.784911)
(97000, -15.790018)
(98000, -16.316376)
(99000, -16.290207)
(100000, -15.935342)
(1000, 10.689524)
(2000, 1.3285072)
(3000, -1.4325787)
(4000, -2.1026235)
(5000, -2.413112)
(6000, -2.5470426)
(7000, -2.8036718)
(8000, -2.9427054)
(9000, -3.1523023)
(10000, -3.3613718)
(11000, -3.555689)
(12000, -3.7885282)
(13000, -4.0316644)
(14000, -4.2862487)
(15000, -4.5543103)
(16000, -4.8294086)
(17000, -5.069578)
(18000, -5.408326)
(19000, -5.646262)
(20000, -5.925742)
(21000, -6.200049)
(22000, -6.5042343)
(23000, -6.824038)
(24000, -7.18199)
(25000, -7.4129763)
(26000, -7.6711917)
(27000, -8.022495)
(28000, -8.1509905)
(29000, -8.543313)
(30000, -8.72398)
(31000, -9.269619)
(32000, -9.253473)
(33000, -9.622724)
(34000, -9.786172)
(35000, -9.953078)
(36000, -10.199146)
(37000, -10.429594)
(38000, -10.5671425)
(39000, -10.818398)
(40000, -10.676514)
(41000, -10.864776)
(42000, -11.3806925)
(43000, -10.799819)
(44000, -11.377583)
(45000, -11.773478)
(46000, -11.247349)
(47000, -11.4616995)
(48000, -11.76877)
(49000, -11.538624)
(50000, -11.170432)
(51000, -11.293815)
(52000, -11.148959)
(53000, -11.409538)
(54000, -11.613224)
(55000, -11.607261)
(56000, -11.775937)
(57000, -12.089828)
(58000, -10.697001)
(59000, -11.301653)
(60000, -10.866514)
(61000, -11.303614)
(62000, -11.367894)
(63000, -10.440099)
(64000, -11.45599)
(65000, -10.787585)
(66000, -9.119915)
(67000, -10.556664)
(68000, -9.955185)
(69000, -10.713014)
(70000, -9.273972)
(71000, -9.732355)
(72000, -9.441436)
(73000, -11.01479)
(74000, -8.824085)
(75000, -8.391757)
(76000, -7.8943048)
(77000, -8.290767)
(78000, -6.410991)
(79000, -5.7673373)
(80000, -6.990303)
(81000, -4.346693)
(82000, -6.0476756)
(83000, -3.7711067)
(84000, -1.4467096)
(85000, -2.2011414)
(86000, -3.6779447)
(87000, -0.5034875)
(88000, 1.072496)
(89000, 0.2469307)
(90000, 0.11244924)
(91000, -0.30232075)
(92000, 1.7504742)
(93000, -1.5037056)
(94000, -2.547489)
(95000, -2.217405)
(96000, -3.4131937)
(97000, -2.2773442)
(98000, 3.9992845)
(99000, -1.5169257)
(100000, 1.18124)
(1000, 19340407000.0)
(2000, 5102063.0)
(3000, 50646.2)
(4000, 29837.934)
(5000, 24140.947)
(6000, 60119.93)
(7000, 3104.5244)
(8000, 2115.8738)
(9000, 10615.372)
(10000, 6445.636)
(11000, 598.75555)
(12000, 539.5583)
(13000, 157.94353)
(14000, 209.646)
(15000, 34.20817)
(16000, 80.484634)
(17000, 76.09533)
(18000, 36.81504)
(19000, 56.381145)
(20000, 49.542343)
(21000, 33.661568)
(22000, 33.23725)
(23000, 32.15777)
(24000, 27.618305)
(25000, 29.177298)
(26000, 30.493328)
(27000, 28.529604)
(28000, 25.72534)
(29000, 25.90295)
(30000, 22.936646)
(31000, 19.468748)
(32000, 14.41832)
(33000, 16.12388)
(34000, 9.8525305)
(35000, 9.09363)
(36000, 5.509136)
(37000, 4.4311)
(38000, 2.8230195)
(39000, 1.5621157)
(40000, 0.535911)
(41000, 0.43856743)
(42000, -0.4644154)
(43000, -1.222073)
(44000, -1.9244626)
(45000, -2.279228)
(46000, -2.39009)
(47000, -2.3689706)
(48000, -2.4304383)
(49000, -2.4992192)
(50000, -2.533528)
(51000, -2.5652475)
(52000, -2.6195238)
(53000, -2.6795735)
(54000, -2.816646)
(55000, -2.9493127)
(56000, -3.1069288)
(57000, -3.2877777)
(58000, -3.4842715)
(59000, -3.6896205)
(60000, -3.9459105)
(61000, -4.1745567)
(62000, -4.4391623)
(63000, -4.6647205)
(64000, -4.955166)
(65000, -5.202309)
(66000, -5.468811)
(67000, -5.8040094)
(68000, -6.0583878)
(69000, -6.3753815)
(70000, -6.662517)
(71000, -6.994339)
(72000, -7.2079916)
(73000, -7.5739613)
(74000, -7.8875484)
(75000, -8.055553)
(76000, -8.368237)
(77000, -8.641334)
(78000, -8.979915)
(79000, -9.223314)
(80000, -9.406856)
(81000, -9.532815)
(82000, -9.704221)
(83000, -10.061836)
(84000, -10.097643)
(85000, -10.107561)
(86000, -10.453413)
(87000, -10.637098)
(88000, -10.6330385)
(89000, -10.55541)
(90000, -10.835302)
(91000, -10.507271)
(92000, -10.862491)
(93000, -10.9614315)
(94000, -10.712098)
(95000, -10.849571)
(96000, -11.0520115)
(97000, -10.080218)
(98000, -9.74829)
(99000, -10.05677)
(100000, -10.115676)
(1000, 5.6907784e+31)
(2000, 1.1276167e+32)
(3000, 1.0427608e+33)
(4000, 1.3360518e+32)
(5000, 7.415838e+31)
(6000, 6.1503037e+31)
(7000, 9.720773e+31)
(8000, 9.357702e+31)
(9000, 4.757197e+32)
(10000, 2.0875774e+32)
(11000, 2.1217584e+32)
(12000, 8.117275e+32)
(13000, 1.6093532e+33)
(14000, 7.080646e+32)
(1000, 4.8147157e+28)
(2000, 1.6771179e+29)
(3000, 2.0493673e+28)
(4000, 9.4434084e+29)
(5000, 1.2081128e+29)
(6000, 5.774546e+27)
(7000, 9.96386e+28)
(8000, 7.0632247e+28)
(9000, 3.1226044e+28)
(10000, 4.7199486e+28)
(11000, 1.2245717e+28)
(12000, 9.775466e+26)
(13000, 3.5632638e+28)
(14000, 2.087197e+29)
(15000, 1.8914618e+27)
(16000, 4.892534e+28)
(17000, 4.089416e+28)
(18000, 8.864934e+28)
(19000, 5.741003e+29)
(20000, 4.18411e+28)
(21000, 1.5779353e+28)
(22000, 1.653627e+29)
(23000, 3.9209908e+28)
(24000, 5.8332673e+28)
(25000, 1.7522655e+28)
(26000, 5.163926e+28)
(27000, 1.1831298e+28)
(28000, 6.3140746e+28)
(29000, 7.5789595e+28)
(30000, 6.6423e+27)
(31000, 6.570247e+28)
(32000, 6.066801e+28)
(33000, 1.4105236e+29)
(34000, 3.093832e+28)
(35000, 3.9580626e+28)
(36000, 5.7807607e+28)
(37000, 1.0403102e+29)
(38000, 2.4228222e+28)
(39000, 2.8664423e+29)
(40000, 3.3058733e+28)
(41000, 4.23906e+28)
(42000, 2.2171692e+29)
(43000, 9.1419915e+28)
(44000, 9.892328e+28)
(45000, 6.8464614e+28)
(46000, 2.3346667e+27)
(47000, 6.4578966e+28)
(48000, 2.7026304e+28)
(49000, 1.1823521e+29)
(50000, 6.868631e+26)
(51000, 1.4063996e+28)
(52000, 7.0504046e+27)
(53000, 6.7467014e+28)
(54000, 2.1102988e+28)
(55000, 4.781554e+28)
(56000, 9.254034e+28)
(57000, 2.788391e+28)
(58000, 3.5716856e+29)
(59000, 1.1308457e+28)
(60000, 7.970085e+28)
(61000, 4.2159503e+28)
(62000, 1.5981597e+29)
(63000, 9.1770624e+29)
(64000, 3.7607047e+27)
(65000, 1.8213935e+28)
(66000, 4.0035727e+28)
(67000, 1.3433731e+28)
(68000, 1.5179009e+29)
(69000, 1.2573393e+30)
(70000, 4.6968424e+27)
(71000, 1.524684e+28)
(72000, 2.1330251e+29)
(73000, 1.7980905e+29)
(74000, 4.1179357e+29)
(75000, 4.005744e+26)
(76000, 4.600622e+28)
(77000, 1.6118756e+28)
(78000, 3.344778e+28)
(79000, 3.603854e+29)
(80000, 1.6012349e+28)
(81000, 6.9796653e+27)
(82000, 3.2830345e+29)
(83000, 8.5594303e+27)
(84000, 6.605195e+26)
(85000, 6.804901e+27)
(86000, 2.1046647e+29)
(87000, 8.872937e+28)
(88000, 8.040084e+28)
(89000, 2.3747995e+28)
(90000, 3.1538421e+28)
(91000, 3.91582e+28)
(92000, 7.739882e+28)
(93000, 1.0566288e+29)
(94000, 2.4013659e+28)
(95000, 1.983028e+28)
(96000, 8.189474e+28)
(97000, 1.2678178e+29)
(98000, 2.329263e+27)
(99000, 4.6535057e+29)
(100000, 1.6029942e+27)
(1000, 1714095700000.0)
(2000, 1663508400000.0)
(3000, 1639500600000.0)
(4000, 1720495900000.0)
(5000, 1775462100000.0)
(6000, 1605565700000.0)
(7000, 1631588800000.0)
(8000, 1678577900000.0)
(9000, 1725605600000.0)
(10000, 1623304200000.0)
(11000, 1630611400000.0)
(12000, 1658307000000.0)
(13000, 1645399000000.0)
